[2022-4-16 2:20:11] POST:/api/auth/login 200 0.002 ms
[2022-4-16 2:20:11] OPTIONS:/api/cats 200 0.002 ms
[2022-4-16 2:20:11] OPTIONS:/api/users/6257ed2854d6bf57eee2cbbb 200 0.003 ms
[2022-4-16 2:20:11] OPTIONS:/api/users/6257ed2854d6bf57eee2cbbb 200 0.004 ms
[2022-4-16 2:20:11] GET:/api/cats 200 0.003 ms
[2022-4-16 2:20:11] GET:/api/users/6257ed2854d6bf57eee2cbbb 200 0.002 ms
[2022-4-16 2:20:11] GET:/api/users/6257ed2854d6bf57eee2cbbb 200 0.013 ms
[2022-4-16 2:21:57] OPTIONS:/api/auth/login 200 0.002 ms
[2022-4-16 2:21:57] POST:/api/auth/login 200 0.002 ms
[2022-4-16 2:21:57] OPTIONS:/api/cats 200 0.002 ms
[2022-4-16 2:21:57] GET:/api/cats 200 0.002 ms
[2022-4-16 2:21:57] OPTIONS:/api/users/6257ed2854d6bf57eee2cbbb 200 0.002 ms
[2022-4-16 2:21:57] OPTIONS:/api/users/6257ed2854d6bf57eee2cbbb 200 0.001 ms
[2022-4-16 2:21:57] GET:/api/users/6257ed2854d6bf57eee2cbbb 200 0.002 ms
[2022-4-16 2:21:57] GET:/api/users/6257ed2854d6bf57eee2cbbb 200 0.002 ms
[2022-4-16 2:21:57] OPTIONS:/api/cats/6258731085b48601feef8cb5/comments/ 200 0.003 ms
[2022-4-16 2:21:57] GET:/api/cats/6258731085b48601feef8cb5/comments/ 200 0.002 ms
[2022-4-16 2:21:57] GET:/api/users/6257ed2854d6bf57eee2cbbb 200 0.002 ms
[2022-4-16 19:36:17] OPTIONS:/api/auth/login 200 0.074 ms
[2022-4-16 19:36:18] POST:/api/auth/login 200 0.003 ms
[2022-4-16 19:36:18] OPTIONS:/api/cats 200 0.005 ms
[2022-4-16 19:36:18] OPTIONS:/api/users/6257ed2854d6bf57eee2cbbb 200 0.004 ms
[2022-4-16 19:36:18] OPTIONS:/api/users/6257ed2854d6bf57eee2cbbb 200 0.004 ms
[2022-4-16 19:36:18] GET:/api/users/6257ed2854d6bf57eee2cbbb 200 0.012 ms
[2022-4-16 19:36:18] GET:/api/cats 200 0.004 ms
[2022-4-16 19:36:18] GET:/api/users/6257ed2854d6bf57eee2cbbb 200 0.006 ms
[2022-4-16 19:36:18] OPTIONS:/api/cats/6258731085b48601feef8cb5/comments/ 200 0.005 ms
[2022-4-16 19:36:18] GET:/api/cats/6258731085b48601feef8cb5/comments/ 200 0.01 ms
[2022-4-16 19:36:18] GET:/api/users/6257ed2854d6bf57eee2cbbb 200 0.003 ms
[2022-4-16 19:36:23] OPTIONS:/api/cats/6258731085b48601feef8cb5 200 0.004 ms
[2022-4-16 19:36:23] GET:/api/cats/6258731085b48601feef8cb5 200 0.005 ms
[2022-4-16 19:36:23] OPTIONS:/api/cats/6258731085b48601feef8cb5/comments/ 200 0.004 ms
[2022-4-16 19:36:23] GET:/api/cats/6258731085b48601feef8cb5/comments/ 200 0.003 ms
[2022-4-16 19:36:26] OPTIONS:/api/cats 200 0.005 ms
[2022-4-16 19:36:26] OPTIONS:/api/users/6257ed2854d6bf57eee2cbbb 200 0.003 ms
[2022-4-16 19:36:26] GET:/api/cats 200 0.003 ms
[2022-4-16 19:36:26] GET:/api/users/6257ed2854d6bf57eee2cbbb 200 0.003 ms
